,lat,lon,depth,time,evid,nass,ml,sdobs,etype,Annotation
100,54.1326,-166.0662,100,1599895997,391,4,-999,0.3438,V,"volcanic (type A), one subnet only"
101,54.1713,-165.9125,4.5141,1599896054,392,8,-999,0.4454,V,"volcanic (type A), one subnet only"
103,54.2235,-165.8929,7.8273,1599896826,394,5,-0.09,0.6061,V,"volcanic (type A), one subnet only"
104,54.4327,-165.9578,0,1599896898,395,4,-999,0.2782,V,"volcanic (type A), one subnet only"
105,54.1602,-165.961,0.5877,1599901045,396,8,0.12,0.1852,V,"volcanic (type A), one subnet only"
107,51.7283,-177.3563,19.5167,1599926021,398,9,-999,0.3572,-,earthquake
108,54.1732,-165.9135,29.4932,1599940603,399,5,-999,0.1246,-,earthquake
109,53.6094,-167.7741,100,1599943081,400,9,2.2,0.8643,nT,"noise, teleseismic signal"
112,51.8741,-174.7488,31.9514,1600010229,403,6,-999,0.279,-,earthquake
113,54.145,-166.0553,24.9186,1600017497,404,4,-999,0.1732,-,earthquake
114,54.0671,-165.8821,19.8452,1600026879,405,4,1.63,0.3092,-,earthquake — distant or deep
115,52.103,-177.2042,0.032,1600029710,406,4,-999,0.6712,V,"volcanic (type A), one subnet only"
119,51.6513,-177.1461,0.075,1600056383,410,9,2.25,0.6885,-,earthquake
123,52.1402,-176.2467,87.4343,1600099747,415,4,1.07,0.1458,-,earthquake
128,52.0441,-177.0522,100,1600141470,422,13,-999,1.8414,nT,"noise, telesrismic signal"
129,54.1496,-168.3565,25,1600141515,421,15,4.02,-1,nT,"noise, teleseirmic signal"
131,52.5433,-175.8208,84.842,1600141931,425,8,2.75,1.3472,nT,"noise, teleseismic signal"
132,51.8717,-177.1032,40,1600143107,426,4,-999,-1,-,earthquake
135,52.1579,-174.3214,16.1443,1600180885,429,7,1.91,0.3912,-,earthquake
140,50.8645,-175.5465,100,1600246532,435,12,3.12,1.35,nT,"noise, teleseismic signal"
141,53.7582,-167.8001,99.9367,1600246557,436,8,2.04,0.8636,nT,noise teleseismic signal (same signal as evid #435)
142,54.0033,-166.0355,15.2183,1600249234,437,4,-999,0.1527,-,earthquake
145,51.6037,-174.2274,29.6117,1600279415,440,5,-999,0.2287,-,earthquake
146,51.8751,-177.3983,37.0326,1600313409,441,6,-999,0.9537,-,earthquake — distant or deep
147,51.2592,-175.907,99.9434,1600313857,442,6,2.39,1.0006,n,noise
148,52.0096,-176.08,16.7437,1600322002,443,4,0.97,0.0194,V,"volcanic (type A), one subnet only"
149,51.8612,-176.1348,41.6922,1600322771,444,4,1.93,0.0953,V,"volcanic (type A), one subnet only"
150,54.0197,-165.6876,22.315,1600329144,445,9,2.01,0.8516,-,earthquake — distant or deep
151,51.9684,-175.9412,32.8266,1600329233,446,7,1.76,0.467,n,"noise, possibly teleseismic"
152,52.605,-177.184,99.9934,1600339404,448,7,2.57,1.4754,nT,"noise, teleseismic signal"
153,53.75,-167.6884,25.4125,1600339445,449,5,2.11,0.3336,nT,"noise, teleseismic signal (same signal as evid #448)"
154,52.6413,-177.3469,15.4658,1600343032,450,4,2.36,0.896,-,noise
155,51.7158,-177.1956,7.5743,1600366777,451,9,1.84,0.1932,-,earthquake
159,52.3166,-174.5059,1.413,1600402345,457,4,0.8,0.2134,n,"noise, possibly teleseismic"
160,54.0387,-166.0455,26.1242,1600423106,458,5,1.19,0.2826,-,earthquake
162,53.7297,-167.9408,99.9981,1600455283,460,7,1.74,0.8428,n,noise
163,53.8868,-166.2363,34.4168,1600500384,461,4,-999,0.3069,-,earthquake — distant or deep
167,52.2119,-174.0428,1.8838,1600552957,465,5,1.02,0.4429,-,earthquake
168,51.7781,-177.2485,16.9803,1600564074,466,7,1.41,0.8346,-,earthquake
169,53.9082,-165.6654,32.6957,1600567683,467,11,2.37,0.361,-,"earthquake, S-phase not very distinct"
171,54.0074,-165.9899,19.9035,1600656725,469,9,1.35,0.7508,-,"earthquake, S-phase not very distinct"
177,53.9949,-165.8537,14.8876,1600751756,476,11,2.32,0.6337,-,earthquake
178,51.7504,-177.194,19.8464,1600765919,477,6,1.49,0.5092,-,earthquake
180,51.8276,-176.3869,15,1600782473,479,4,1.08,-1,D,duplicate or matched evid #478
181,52.3172,-174.1214,1.2597,1600783575,480,4,-999,0.0788,V,"volcanic (type A), one subnet only"
186,54.1534,-165.9315,25.4197,1600851798,485,4,-999,0.246,-,earthquake
189,51.7066,-177.277,17.2853,1600891131,488,8,1.85,0.3988,-,earthquake
192,50.9951,-174.0724,0,1600935175,491,11,2.27,0.7878,-,earthquake — distant or deep
193,51.6618,-177.1608,18.6871,1600938457,492,8,1.35,0.4172,-,earthquake
195,54.0636,-165.8786,24.4758,1600960219,494,7,1.6,0.377,-,earthquake — distant or deep (sand point)
196,52.0114,-176.2896,18.4703,1600960311,495,6,-999,1.2752,n,"techinically earthquake, same as evid #495 - Ps picked on Ss"
198,51.8636,-177.2461,27.1117,1600975443,497,24,2.6,0.6367,-,earthquake — distant or deep 
203,51.8784,-175.5386,30.8663,1600981895,503,4,1.59,0.2133,-,earthquake — distant or deep
205,51.853,-177.2791,0,1600982714,505,5,1.1,0.5722,D,"earthquake, but very poor picks (some Ps on Ss), same as evid #506"
206,51.5722,-177.2808,19.9958,1600982697,506,4,-999,0.1356,-,"same as evid #505, but is much better solution for event"
207,51.8858,-177.0938,19.9537,1600991342,507,4,0.44,0.0803,-,earthquake
209,54.1515,-165.9167,32.1721,1601013542,509,9,-999,0.5935,-,earthquake — distant or deep (sand point)
210,52.0765,-173.4496,32.7459,1601013609,510,9,3.15,1.0336,-,earthquake
211,51.8717,-177.1032,20,1601023657,511,4,-999,-1,-,earthquake
214,51.8367,-177.2317,100,1601052802,514,9,1.08,1.4559,n,"noise, possibly volcanic"
217,52.201,-174.1921,25,1601082478,517,7,-999,-1,-,earthquake
219,51.5929,-177.7122,50,1601090203,519,7,2.04,-1,-,earthquake
220,52.5581,-175.9225,86.7541,1601091172,520,4,1.99,0.9707,n,noise (possibly volcanic or poorly resolved small event)
221,51.574,-177.3037,13.5028,1601102587,521,5,1.25,0.716,-,earthquake
222,52.0512,-176.2111,8.0505,1601102562,522,4,0.29,0.0885,V,"volcanic (type A), one subnet only"
223,54.0711,-165.8846,25.7532,1601105355,523,7,-999,0.2761,-,earthquake
224,54.1507,-165.8768,1.9365,1601105372,524,6,1.36,0.3083,-,earthquake
225,52.0221,-176.1656,0.3219,1601110222,525,6,0.52,0.3585,V,"volcanic (type A), one subnet only"
227,51.9069,-176.73,100,1601122184,527,8,-999,3.3718,-,earthquake
232,52.1649,-174.4859,7.0988,1601187618,533,4,1.94,0.1274,-,earthquake — distant or deep
235,52.1486,-174.294,18.7184,1601191528,538,9,-999,0.6756,-,earthquake
236,52.0746,-176.1721,14.9212,1601191546,539,5,0.57,0.2991,D,"duplicate, same as evid #538 (earthquake)"
238,51.2946,-174.5193,7.8351,1601200327,541,8,2.69,1.0637,n,"noise, possibly teleseismic"
239,53.8662,-166.8046,100,1601200304,542,6,-999,0.3592,n,"noise, possibly teleseismic"
254,51.6597,-177.1499,23.1824,1601465168,558,4,1.51,0.4741,-,earthquake
